LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
INGLEWOOD UNIFIED SCHOOL DISTRICT,INGLEWOOD,CA,90301,SPECIAL EDUCATION TEACHER,4243.34
CHEVRON CORPORATION,SAN RAMON,CA,94583,SOLUTION ARCHITECT (IT PROFESSIONAL),134000
"MOBILENET SERVICES, INC.",IRVINE,CA,92618,RF ENGINEER,65000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,1.00E+05
"ROSEMOUNT ANALYTICAL, INC.",IRVINE,CA,92606,SENIOR SYSTEMS SOFTWARE ENGINEER,71000
WIMBERLY ALLISON TONG & GOO N.A. INC.,IRVINE,CA,92618,INTERMEDIATE DESIGNER,51085
"BETA SOFT SYSTEMS, INC.",FREMONT,CA,94538,AUTOMATION ENGINEER,45000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,132300
"PARK, KIM & SUH, LLC",LOS ANGELES,CA,90067,PATENT SPECIALIST,19.81
THE SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CA,92037,SENIOR RESEARCH ASSOCIATE,50032
APPLE INC.,CUPERTINO,CA,95014,JR. ACOUSTICS VALIDATION ENGINEER,95000
"DYNAMIC ACCESS SYSTEMS, INC",SANTA CLARA,CA,95050,PROGRAMMER ANALYST,72000
FANTOON INC.,PALO ALTO,CA,94306,LEAD BACK END SOFTWARE ENGINEER,82930
"APPLIED BIOSYSTEMS, LLC",CARLSBAD,CA,92008,"SCIENTIST III, BIOINFORMATICS",70632
"SAN FRANCISCO CARE CENTER, LP",SAN FRANCISCO,CA,94109,ART DIRECTOR,19.32
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,MIXED SIGNAL DESIGN ENGINEER,77000
THE CLIMATE CORPORATION,SAN FRANCISCO,CA,94107,STATISTICIAN (QUANTITATIVE RESEARCHER),130000
APPLE INC.,CUPERTINO,CA,95014,SOFTWARE ENGINEER - AGILE DEVELOPMENT,150000
APPLE INC.,CUPERTINO,CA,95014,SQA LEAD,90000
"TELECOM TECHNOLOGY SERVICES, INC.",PLEASANTON,CA,94588,RF ENGINEER,54642
"ST. JUDE MEDICAL, CARDIAC RHYTHM MGMT DIV",SYLMAR,CA,91342,BIOMEDICAL QUALITY SYSTEMS AUDIT ENGINEER,63000
APPLE INC.,CUPERTINO,CA,95014,IOS CELLULAR LAB QA ENGINEER,1.00E+05
BODHTREE SOLUTIONS INC,FREMONT,CA,94539,PROGRAMMER ANALYST,65000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,HARDWARE ENGINEER,75899.2
"TURNER, WARREN, HWANG & CONRAD ACCOUNTING. CORP",BURBANK,CA,91502,AUDITOR,55000
"SYNOPSYS, INC.",MOUNTAIN VIEW,CA,94043,R&D ENGINEER,92605
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,61600
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,58200
VERICARE MANAGEMENT INC.,SAN DIEGO,CA,92123,CLINICAL PSYCHOLOGIST,93626.29
"JEEPNEE, INC.",PLEASANTON,CA,94588,OCCUPATIONAL THERAPIST,75462
UST GLOBAL INC,ALISO VIEJO,CA,92656,PROJECT MANAGER,72800
BROADCOM CORPORATION,IRVINE,CA,92617,"ENGINEER, STAFF II - RF/WIRELESS",101700
"TESLA MOTORS, INC.",PALO ALTO,CA,94304,APPLICATIONS DEVELOPER,90000
APPLE INC.,CUPERTINO,CA,95014,"SMALL AND MEDIUM BUSINESS PROGRAM MANAGER, APPLE O",140000
KUTIR CORPORATION,NEWARK,CA,94560,SYSTEMS ANALYST,90000
"CHELSIO COMMUNICATIONS, INC.",SUNNYVALE,CA,94085-1410,MEMBER OF TECHNICAL STAFF (SOFTWARE DEVELOPMENT EN,72545
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,133900
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SYSTEMS ENGINEER,85051.2
"JUNIPER NETWORKS, INC.",SUNNYVALE,CA,94089,BUSINESS DEVELOPMENT SR. DIRECTOR,178256
"INFOOBJECTS, INC",SANTA CLARA,CA,95054,COMPUTER SYSTEMS ANALYST,62000
SONATA SOFTWARE NORTH AMERICA INC,FREMONT,CA,94538,CONSULTANT,62483
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,CA,94555,TECHNICAL SPECIALIST,72200
"HERMES MICROVISION, INC.",SAN JOSE,CA,95131,MANUFACTURING ENGINEER,71198
CAPSTONE CONSULTING INC,SANTA CLARA,CA,95054,PROGRAMMER ANALYST,61963
"LITHIUM TECHNOLOGIES, INC.",EMERYVILLE,CA,94608,SOFTWARE ENGINEER,87500
ADOBE SYSTEMS INCORPORATED,SAN JOSE,CA,95110,QUALITY ENGINEER,87156
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,67500
"INFOBAHN SOFTWORLD, INC",SAN JOSE,CA,95131,BUSINESS ANALYST,68000
"PROFESSIONAL RESOURCE ENTERPRISES, INC.",WOODLAND HILLS,CA,91367,QUALITY ASSURANCE NURSE MANAGER,28.13
ZENITH INSURANCE COMPANY,WOODLAND HILLS,CA,91367,QA TEST ENGINEER,80330
"INPATIENT CONSULTANTS OF FLORIDA, INC.",NORTH HOLLYWOOD,CA,91602,HOSPITALIST PHYSICIAN,150000
SAN DIEGO COUNTY CREDIT UNION,SAN DIEGO,CA,92121,APPLICATION SPECIALIST,113755
"DAZ SYSTEMS, INCORPORATED",EL SEGUNDO,CA,90245,"SENIOR TECHNICAL CONSULTANT, ORACLE APPLICATIONS",158078.64
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,"SENIOR DIRECTOR, TECHNOLOGY",164850
"PIXSENSE, INC.",MOUNTAIN VIEW,CA,94041,COMPUTER PROGRAMMER,71947
SKYY SPIRITS LLC,SAN FRANCISCO,CA,94133,CHANNEL MANAGER (PUBLIC RELATIONS),72000
MOMO AUTOMOTIVE ACCESSORIES INC.,RANCHO SANTA MARGARITA,CA,92688,GENERAL MANAGER,180000
GAAD CORPORATION,TORRANCE,CA,90503,SOFTWARE ENGINEER,29.27
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,56200
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,STRATEGIC ACCOUNT EXECUTIVE,135000
ZYNGA INC.,SAN FRANCISCO,CA,94103,PRODUCT MANAGER,92290
"ZIONTECH SOLUTIONS, INC.",SANTA CLARA,CA,95054-3321,SYSTEMS ADMINISTRATOR,69000
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,62300
"CISCO SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE/QUALITY ASSURANCE ENGINEER,115678
SONATA SOFTWARE NORTH AMERICA INC,FREMONT,CA,94538,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,65541
WATER PLANET ENGINEERING LLP,INGLEWOOD,CA,90301,ENVIRONMENTAL ENGINEER,72000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,85051.2
WINMAX SYSTEMS CORPORATION,MILPITAS,CA,95035,SOFTWARE ENGINEER,82930
"30SIXTY ADVERTISING & DESIGN, INC.",LOS ANGELES,CA,90012,GRAPHIC DESIGNER,45000
"SUPER MICRO COMPUTER, INC",SAN JOSE,CA,95131,FIRMWARE ENGINEER,87543
"DIRECTV, LLC",EL SEGUNDO,CA,90245,"STAFF ENGINEER 3, SOFTWARE QUALITY ASSURANCE",88010
"APPLESEED ALMADEN, LLC",SAN JOSE,CA,95118,KINDERGARTEN TEACHER,40865
INTEL CORPORATION,SANTA CLARA,CA,95054,PROCESS ENGINEER,90194
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENGINEER,83595.2
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENGINEER,83595.2
"FACEBOOK, INC.",MENLO PARK,CA,94025,SOFTWARE ENGINEER,147435.75
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,105000
YAHOO! INC.,SUNNYVALE,CA,94089,"SOFTWARE ENGINEER(TECH YAHOO, SOFTWARE APPS DEV EN",82930
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,147500
"FACEBOOK, INC.",MENLO PARK,CA,94025,SOFTWARE ENGINEER,131909.6
"ECALIX, INC",FREMONT,CA,94538,SYSTEMS ANALYST - QA,29
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (TECHNICAL ANALYST 4-SUPPORT),84496.79
"CONTINUUM ELECTRO-OPTICS, INC.",SANTA CLARA,CA,95051,LASER SCIENTIST/ENGINEER,79331
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,57100
SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,95192-0021,ASSISTANT PROFESSOR,102000
"TESLA MOTORS, INC.",PALO ALTO,CA,94304,"SYSTEM ENGINEER, BATTERY INTEGRATION",80000
"ADVANCED FOOD CONCEPTS, INC.",BERKELEY,CA,94710,QA/QC MANAGER,70000
"JUNIPER NETWORKS, INC.",SUNNYVALE,CA,94089,TECHNICAL MARKETING SPECIALIST STAFF,84843
LSI CORPORATION,MILPITAS,CA,95035,FIRMWARE DEVELOPMENT ENGINEER 2,75000
Z & C ACCOUNTANCY CORPORATION,ALHAMBRA,CA,91801,ACCOUNTANT,22.78
SYSNET TECHNOLOGY SOLUTIONS,SAN JOSE,CA,95129,QA ANALYST,66000
"GOLDEN EAST GROUP, INC.",EL MONTE,CA,91731,FOREIGN LEGAL CONSULTANT,15
"SYMBIOSYS, INC.",SAN JOSE,CA,95129,TELEMATICS QA SPECIALIST,51230
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER,70034
"MENLO LOGISTICS, INC. DBA MENLO WORLDWIDE LOGISTIC",SAN MATEO,CA,94403-2512,LEAN COORDINATOR ASSOCIATE,56800
PARTNERS INFORMATION TECHNOLOGY INC.,IRVINE,CA,92606,ATG COMMERCE SENIOR PROGRAM ANALYST,87500
"CITADEL CPM, INC.",PASADENA,CA,91103,"ENGINEERING MANAGER, CONSTRUCTION",1.00E+05
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POST SEC",51377.96
SANDISK CORPORATION,MILPITAS,CA,95035,DESIGN ENGINEER,85000
STEP AHEAD SOLUTIONS INC,SANTA CLARA,CA,95054,ORACLE ARCHITECT,72000
"RJT COMPUQUEST, INC.",TORRANCE,CA,90505,SYSTEMS ANALYST,65000
"PHOTON SYSTEMS, INC.",COVINA,CA,91722,SR. SYSTEMS ENGINEER,85000
"SYNAPSE DESIGN AUTOMATION, INC.",SAN JOSE,CA,95113,HARDWARE ENGINEER,82930
INTRIGO SYSTEMS INCORPORATED,FREMONT,CA,94538,SYSTEMS ANALYST,1.00E+05
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,60000
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,PROGRAMMER ANALYST,69742
"PHOTON INFOTECH, INC.",SAN JOSE,CA,95112,TECHNICAL LEAD,68000
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,90048,EIS APPLICATION SPECIALIST II,1.00E+05
"3DI, INC.",BREA,CA,92821,SOFTWARE DEVELOPER,110000
"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",NORTHRIDGE,CA,91330,ASSISTANT PROFESSOR,98004
"NETAPP, INC.",SUNNYVALE,CA,94089,"MEMBER TECHNICAL STAFF, SOFTWARE",95000
"SYNOPSYS, INC.",MOUNTAIN VIEW,CA,94043,R&D DESIGN ENGINEER,102335
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,75899.2
APPLE INC.,CUPERTINO,CA,95014,SERVICE DIAGNOSTICS DEVELOPMENT ENGINEER,1.00E+05
CAMERON HEALTH,SAN CLEMENTE,CA,92673,PRINCIPAL SOFTWARE ENGINEER,122467
APPLE INC.,CUPERTINO,CA,95014,INTERACTIVE PUBLISHING LEAD,112500
MOONLIGHT BRIDAL DESIGN INC.,IRVINE,CA,92618,MULTIMEDIA MARKET SPECIALIST,43330.83
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,CA,95051,DATA ANALYST - BUSINESS PROCESS SPECIALIST,97856
"GLOBAL EDGE SOFTWARE, INC.",MILPITAS,CA,95035,COMPUTER PROGRAMMER,72000
"GLOBAL EDGE SOFTWARE, INC.",MILPITAS,CA,95035,COMPUTER PROGRAMMER,65000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",REDLANDS,CA,92373,GIS PRODUCT ENGINEER,81643
"TUBEMOGUL, INC.",EMERYVILLE,CA,94608,SOFTWARE ENGINEER,165000
APPLE INC.,CUPERTINO,CA,95014,SW DEVELOP ENG 3,105000
HAORUI PHARMA-CHEM INC.,IRVINE,CA,92618,CIVIL ENGINEER,66500
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,POSTDOCTORAL SCHOLAR,39264
"WESTERN DIGITAL TECHNOLOGIES, INC.",IRVINE,CA,92612,SR. PRINCIPAL ENGINEER,93500
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,83595.2
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 3),110000
PRO-TEK CONSULTING,WOODLAND HILLS,CA,91367,SENIOR SYSTEMS ANALYST,60000
ZYNGA INC.,SAN FRANCISCO,CA,94103,PRODUCT MARKETING MANAGER,128814
APPLE INC.,CUPERTINO,CA,95014,VERIFICATION ENGINEER,1.00E+05
"JOKER BRAND, LLC",LOS ANGELES,CA,90013,GRAPHIC DESIGNER,34000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,81290
"SUBUTHI OVERSEAS, INC",MENLO PARK,CA,94025,PROGRAMMER ANALYST,66000
"VMWARE, INC.",PALO ALTO,CA,94304,MEMBER OF TECHNICAL STAFF (SOFTWARE ENGINEER),130000
ANJANEYAP INC.,MILPITAS,CA,95035,SYSTEMS ANALYST,29.79
"INFOBAHN SOFTWORLD, INC",SAN JOSE,CA,95131,SOFTWARE ENGINEER,83000
ADOBE SYSTEMS INCORPORATED,SAN JOSE,CA,95110,PROCESS AND METRICS ANALYST,86625
"SYNOPSYS, INC.",MOUNTAIN VIEW,CA,94043,R&D DESIGN ENGINEER,71193
"NEELINFO, INC.",SAN JOSE,CA,95110,SYSTEMS ADMINISTRATOR,69000
"QUEST SOFTWARE, INC.",ALISO VIEJO,CA,92656,SYSTEMS CONSULTANT 3,96158
"NETAPP, INC.",SUNNYVALE,CA,94089,"MEMBER TECHNICAL STAFF, QUALITY ASSURANCE",90000
"KOBELCO COMPRESSORS AMERICA, INC.",CORONA,CA,92880,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALIST,70000
LINKEDIN CORPORATION,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,82930
"CALLWAVE, INC.",SAN FRANCISCO,CA,94105,COMPUTER ENGINEER-FLEX DEVELOPER,93000
ATASCADERO STATE HOSPITAL,ATASCADERO,CA,94323-7005,PYSCHOLOGIST (HEALTH FACILITY- CLINICAL SAFETY),107160
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,133900
"INDRA SOLUTIONS, LLC",FREMONT,CA,94536,MICRO STRATEGY DEVELOPER,72000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
"JUSTIN.TV, INC.",SAN FRANCISCO,CA,94108,COMPUTER SOFTWARE ENGINEER,85000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,FIELD CALIBRATION SUPPORT APPLICATIONS ENGINEER,52477
CINDERELLA DIVINE INC.,LOS ANGELES,CA,90015,ART DIRECTOR,29.06
"SYNAPSE DESIGN AUTOMATION, INC.",SAN JOSE,CA,95113,HARDWARE ENGINEER,85000
"PERSISTENT SYSTEMS, INC.",SANTA CLARA,CA,95054,PROGRAMMER ANALYST,78000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,HARDWARE ENGINEER,72384
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR HARDWARE ENGINEER,76450
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POST SEC",51377.96
"AUTONOMIC TECHNOLOGIES, INC.",REDWOOD CITY,CA,94063,REGULATORY AFFAIRS SPECIALIST--BIOMEDICAL DEVICES,90000
TECHASPECT SOLUTIONS INC.,FREMONT,CA,94538,SR. SOFTWARE ENGINEER,104000
QUALCOMM INCOPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,74276.8
E. & J. GALLO WINERY,MODESTO,CA,95354,RESEARCH ENOLOGIST 3,73000
UST GLOBAL INC.,ALISO VIEJO,CA,92656,SOFTWARE ARCHITECT,67309
LIFE TECHNOLOGIES CORPORATION,CARLSBAD,CA,92008,FIELD APPLICATION SPECIALIST,64917
INTRIGO SYSTEMS INCORPORATED,FREMONT,CA,94538,SYSTEMS ANALYST,95000
BROADCOM CORPORATION,IRVINE,CA,92617,"ENGINEER, SR STAFF - SOFTWARE",129789
DREAMWORKS ANIMATION LLC,GLENDALE,CA,91201,DEPT TD,27.47
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,47300
"MARC 1 DRUGS, INC.",ALHAMBRA,CA,91801,PHARMACIST,87963
MINDTREE LIMITED,SAN JOSE,CA,95110,CONSULTANT,84302
FLYING CROCO LLC,PACIFIC GROVE,CA,93950,DIGITAL AGENCY'S BUDGET AND POLICY ANALYST,55000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POST SEC",51377.96
"HERMES MICROVISION, INC.",SAN JOSE,CA,95131,ELECTRICAL ENGINEER,89000
BROADCOM CORPORATION,IRVINE,CA,92617,"ENGINEER, PRINCIPAL - FIRMWARE",113714
"M S INTERNATIONAL, INC.",ORANGE,CA,92865,SOFTWARE ENGINEER,58000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,CA,94538,PROGRAMMER ANALYST,72000
"MIRROR PLUS TECHNOLOGIES, INC.",FREMONT,CA,94538,SR. VMWARE ADMINISTRATOR,83000
"HONDA R&D AMERICAS, INC.",TORRANCE,CA,90501,SENIOR ENGINEER I,90241.08
INTEL CORPORATION,SANTA CLARA,CA,95054,PROCESS ENGINEER,94994
"AC MARTIN PARTNERS, INC.",LOS ANGELES,CA,90071,INTERIOR DESIGNER,16.06
WILSON SONSINI GOODRICH &AMP; ROSATI,PALO ALTO,CA,94304,LAW CLERK,160000
"LEPORT EDUCATIONAL INSTITUTE, INC.",IRVINE,CA,92618,MONTESSORI TEACHER,39840
ELI INDUSTRIES INC.,CHATSWORTH,CA,91311,CIVIL ENGINEER,64147
STEP AHEAD SOLUTION INC,SANTA CLARA,CA,95054,ORACLE ARCHITECT,72000
"PHOTON INFOTECH, INC.",SAN JOSE,CA,95112,SENIOR DEVELOPER,65000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
PARTNERS INFORMATION TECHNOLOGY INC.,IRVINE,CA,92606,ATG COMMERCE SENIOR PROGRAM ANALYST,87500
PRO-TEK CONSULTING,WOODLAND HILLS,CA,91367,BUSINESS SYSTEM ANALYST,60000
"VERIX, INC.",LOS ALTOS,CA,94022,"DIRECTOR, PHARMA PRODUCT DEVELOPMENT",120000
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,85999.92
NICKEY KEHOE INC.,LOS ANGELES,CA,90036,INTERIOR DESIGNER,40000
INTEL CORPORATION,SANTA CLARA,CA,95054,RESEARCH SCIENTIST,95368
"LIONS GATE ENTERTAINMENT, INC.",SANTA MONICA,CA,90404,"SENIOR ANALYST CRM, RIGHTS & ROYALTIES",140000
STUDIO RFD INC.,SAN FERNANDO,CA,91340,ENVIRONMENTAL / ARCHITECTURAL DESIGNER,85000
"NETLOGIC SOLUTIONS, INC.",SANTA CLARA,CA,95054,BI ANALYST,62000
"MILYONI, INC.",PLEASANTON,CA,94588,SENIOR RAILS DEVELOPER,115000
"SM TELECOM, INC.",SANTA MARIA,CA,93458,BUSINESS OPERATIONS SPECIALIST,18.8
WILSON SONSINI GOODRICH &AMP; ROSATI,PALO ALTO,CA,94304,PATENT TECHNOLOGY SPECIALST (SCIENTIFIC ADVISOR),89000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POST SEC",51377.96
INTEL CORPORATION,SANTA CLARA,CA,95054,SOFTWARE ENGINEER,84552
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
AQUILOGIC INC,SAN JUAN CAPISTRANO,CA,92675,PROJECT GEOSCIENTIST,68000
"REDOLENT, INC.",SAN JOSE,CA,95134,APPLICATION DEVELOPER PROGRAMMER ANALYST,83138
"STRYKER ENDOSCOPY, A DIVISION OF STRYKER CORPORATI",SAN JOSE,CA,95138,REGULATORY COMPLIANCE ANALYST,68000
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,SYSTEMS ANALYST,55349
AVERY DENNISON CORPORATION,PASADENA,CA,91103,SENIOR DATA ANALYST,71750
ATASCADERO STATE HOSPITAL,ATASCADERO,CA,93423,REHABILITATION THERAPIST STATE FACILITIES (MUSIC-S,76404
DELPHIX CORP.,MENLO PARK,CA,94025,SENIOR MEMBER OF TECHNICAL STAFF,120000
"BLACKHAWK NETWORK, INC. (SUBSIDIARY OF SAFEWAY INC",PLEASANTON,CA,94588,"MNGR, PAYMENT ACQUISITIONS & ISSUANCE TECHNOLOGY O",138559
"ZODIAC POOL SYSTEMS, INC.",VISTA,CA,92081,PLANT MANAGER (MANUFACTURING ENGINEER),54.25
"BERNARD INVESTMENT GROUP, INC.",LONG BEACH,CA,92660,MECHANICAL ENGINEER,53000
ST JOHN BOSCO HIGH SCHOOL,BELLFLOWER,CA,90706,ATHLETIC TRAINER,40000
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,42200
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POST SEC",51377.96
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,83595.2
"SMARTPLAY, INC.",SAN JOSE,CA,95134,ASIC PHYSICAL DESIGN ENGINEER,95000
"99PEOPLE, INC.",MOUNTAIN VIEW,CA,94043,MARKET RESEARCH ANALYST,30.35
DCKAP INC.,FREMONT,CA,94538,BUSINESS ANALYST,55600
"INTELLISWIFT SOFTWARE, INC.",FREMONT,CA,94538,PROGRAMMER ANALYST,71947
LAB126,CUPERTINO,CA,95014,SENIOR AUDIO ARCHITECT,150000
"AGREEYA SOLUTIONS, INC.",FOLSOM,CA,95630,PROGRAMMER ANALYST,69742
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,CA,95134,TECHNICAL MARKETING ENGINEER,105419
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,"FOREIGN LANGUAGE AND LITERATURE TEACHERS, POST SEC",51377.96
"GREEN HORIZON MANUFACTURING, LLC",SAN FRANCISCO,CA,94117,COST ESTIMATOR,26.7
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
"ATYPON SYSTEMS, INC.",SANTA CLARA,CA,95054,PROGRAM MANAGER,150000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (APPLICATIONS DEVELOPER 3),86317
"SYNOPSYS, INC.",MOUNTAIN VIEW,CA,94043,R&D DESIGN ENGINEER,83875
"METRICSTREAM, INC.",PALO ALTO,CA,94303,SALES ENGINEER,85000
IGATE TECHNOLOGIES INC.,FREMONT,CA,94555,COMPUTER PROGRAMMERS,67200
"POWER TELECOMM, INC.",SAN JOSE,CA,95131,SOFTWARE ENGINEER,83200
"ADVANTAGE MEDIA SERVICES, INC.",VALENCIA,CA,91355,PROCESS ENGINEER,60133
"NATIONAL TECHNICAL SYSTEMS, INC.",CALABASAS,CA,91302,ACCOUNTANT,55000
UNIVERSITY OF CALIFORNIA AT SANTA BARBARA,SANTA BARBARA,CA,93106-7150,ASSOCIATE SPECIALIST,53268
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,IT ENGINEER,64667.2
SWA GROUP,SAUSALITO,CA,94966,LANDSCAPE ARCHITECTURAL DESIGNER,49795
"JUNIPER NETWORKS, INC.",SUNNYVALE,CA,94089,TECHNICAL MARKETING ENGINEER,110000
DLIFLC - DEFENSE LANGUAGE INSTITUTE FOREIGH LANGUA,MONTEREY,CA,93944,FOREIGN LANGUAGE INSTRUCTOR POST SECONDARY,51377.96
"SAMSUNG SEMICONDUCTOR, INC.",SAN JOSE,CA,95134,ENGINEER,95000
"AGILEPOINT, INC.",MOUNTAIN VIEW,CA,94043,SYSTEMS ANALYST,75000
L'ITALO-AMERICAN FOUNDATION,MONROVIA,CA,91016,NEWS REPORTER,13.28
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,83595.2
"MADERA ANIMAL HOSPITAL, INC.",MADERA,CA,93638,VETERINARIAN,75000
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,SYSTEMS ANALYST,58053
THE OBVIOUS CORPORATION,SAN FRANCISCO,CA,94107,PRODUCT DESIGNER,145000
"TEE TOP OF CALIFORNIA, INC.",ARCADIA,CA,91006,BUSINESS COMMUNICATION SPECIALIST,18.23
"INFOBAHN SOFTWORLD, INC",SAN JOSE,CA,95131,SENIOR SOFTWARE ENGINEER,1.00E+05
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,SALES MANAGER,97365
