LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
YAHOO! INC.,SUNNYVALE,CA,94089-,NETWORK & COMPUTER SYSTS ADMIN (TECHNICAL YAHOO!),80891
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,79539
TIBCO SOFTWARE INC.,PALO ALTO,CA,94304,ARCHITECT/PRINCIPAL ENGINEER QA,98088
AMGEN INC.,THOUSAND OAKS,CA,91320,SENIOR ASSOCIATE SCIENTIST,66626.56
"SOLYNDRA, INC.",FREMONT,CA,94538,SR. MECHANICAL ENGINEER,76710
QLOGIC CORPORATION,ALISO VIEJO,CA,92656-,"ENGINEER, STAFF",110000
LOS ANGELES UNIFIED SCHOOL DISTRICT,LOS ANGELES,CA,90017-,TEACHER,45637
"AUTODESK, INC.",SAN RAFAEL,CA,94903-,MANAGER - CORPORATE ACCOUNTING,83900
PAYROLLING.COM,SAN DIEGO,CA,92109,"ENGINEER, SENIOR",55
"IVYMAX, INC.",CUPERTINO,CA,95014,MARKETING SPECIALIST,21.85
TRIGNOS INCORPORATED,NEWARK,CA,94560,COMPUTER PROGRAMMER,80000
"HOULIHAN, LOKEY, HOWARD & ZUKIN",LOS ANGELES,CA,90067-,FINANCIAL ANALYST,54000
TRIGNOS INCORPORATED,NEWARK,CA,94560,SOFTWARE ENGINEER,96000
GLOBALENGLISH CORPORATION,BRISBANE,CA,94005-,PRINCIPAL PLATFORM ENGINEER,117686
EXILANT CONSULTING PVT. LTD.,SANTA CLARA,CA,95054,SYSTEMS ANALYST,5859
"MOBITV, INC.",EMERYVILLE,CA,94608,SENIOR SOFTWARE ENGINEER,93413
NOKIA INC.,SAN DIEGO,CA,92131-,"HEAD OF BUSINESS PROGRAM, CONVERGED READING",303565.34
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,88000
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,PROFESSOR,98400
